row,idx,station_id,name,cap_z,lat_z,lon_z
215,214,JC082,Manila & 1st,-0.9987,-0.5577,-1.0045
216,215,JC084,Communipaw & Berry Lane,-1.1648,-0.8344,-1.6991
217,216,JC093,Fairmount Ave,-0.9987,-0.4031,-1.8557
218,217,JC094,Glenwood Ave,-0.9987,-0.3339,-1.8294
219,218,JC095,Bergen Ave,-1.1648,-0.5406,-1.8410
220,219,JC097,York St & Marin Blvd,-0.9987,-0.7488,-0.9907
221,220,JC098,Washington St,-0.9987,-0.4575,-0.7878
222,221,JC099,Montgomery St,-1.1648,-0.6424,-1.2418
223,222,JC102,Grand St,-0.9987,-0.8033,-0.8522
224,223,JC103,Journal Square,-0.9987,-0.1017,-1.5788
225,224,JC104,Harborside,-0.5007,-0.6488,-0.7512
226,225,JC105,Hoboken Ave at Monmouth St,-0.4177,-0.0434,-1.1239
227,226,JC107,Grant Ave & MLK Dr,-0.9987,-1.0302,-2.1158
228,227,JC108,Bergen Ave & Stegman St,-0.9572,-1.1297,-2.2873
229,228,JC109,Bergen Ave & Sip Ave,-0.3762,-0.2027,-1.6355
230,229,JC110,JC Medical Center,-0.8742,-0.7952,-1.2038
231,230,JC115,Grove St PATH,-0.0027,-0.6428,-1.0105
232,231,JC116,Exchange Pl,-0.5007,-0.7582,-0.7544
